Pipe Number,New Velocity
2,6.422208586148226
9,3.2999762740063185
11,7.947500778485492
14,2.9128155554663056
15,6.517206961063433
16,3.9345706797112707
17,3.9345706797112707
18,5.470041378987634
19,5.470041378987634
20,1.574316782109433
21,3.196634559360547
22,1.574316782109433
25,2.2111773983774174
28,5.652517234022135
31,3.4900692483252906
33,5.265818424659764
34,5.265818424659764
35,2.4270556939491867
39,2.2462905650947516
40,5.058733731057347
41,5.058733731057347
42,7.568851229268451
43,7.568851229268451
44,3.216746339676511
45,3.216746339676511
47,3.216746339676511
48,4.183077813933582
49,4.183077813933582
52,3.4969400269318633
53,3.4969400269318633
55,3.4969400269318633
57,7.034239749510956
58,3.620305508884625
60,5.146981978775968
61,7.293177587683807
62,7.293177587683807
63,5.443178863343893
64,5.3513241142844095
70,5.3513241142844095
75,6.172609613590017
76,3.695849724506022
77,3.695849724506022
78,5.994242834633057
79,7.466355701559898
80,5.448010718529651
81,3.1496190434650404
82,4.935537780224901
83,2.944169766419098
84,3.3721785798537396
85,7.693169045874875
86,7.693169045874875
87,2.691547117330923
91,2.9318671856569942
93,2.8141601792875677
95,3.8270950455215065
96,2.548138711960368
100,2.548138711960368
101,4.616712196272706
102,2.8859832507666905
103,2.691547117330923
106,3.708030455296061
107,6.097217848472923
108,6.204478614604592
109,6.204478614604592
110,3.5110982778957305
114,7.867343104169408
115,7.867343104169408
116,2.806790776126445
117,6.493194671301672
118,6.493194671301672
119,2.5626577258787453
120,7.26651149047107
121,7.26651149047107
122,2.192098631752772
123,7.943929343426965
128,7.943929343426965
129,6.290693239381816
131,2.1700830620429348
132,4.812341829392454
137,2.715021089879689
139,5.074782553100111
143,6.998563056662356
146,5.093324844127021
152,4.488952458457281
157,4.58090026967754
159,7.362453886067733
161,6.374574982200343
163,5.799876143770487
164,5.799876143770487
174,3.9119847553919893
176,3.8421737165869345
178,5.399884685579419
179,5.2114068797087665
184,5.287108649287766
185,6.938087961006324
195,6.742890505815464
196,5.228825023949385
197,4.543030216867297
199,6.3768080294563525
200,3.7771833764443685
201,6.3768080294563525
202,5.667045138526486
203,5.991096086451161
204,5.991096086451161
208,3.6979869439283157
209,5.828894500977544
210,2.1598435732205674
213,6.973184421130953
214,6.973184421130953
215,6.105899313133146
216,6.438605377850021
217,6.438605377850021
218,5.953726648031984
221,5.953726648031984
222,5.953726648031984
223,6.172609613590017
224,5.399884685579419
225,5.448010718529651
227,2.944169766419098
229,3.9119847553919893
230,2.2111773983774174
231,7.947500778485492
232,4.573171640732668
234,5.287108649287766
236,4.488952458457281
241,3.708030455296061
248,3.3721785798537396
253,6.172609613590017
256,7.568851229268451
257,4.459437107808446
274,7.932386159620812
276,5.443178863343893
283,7.466355701559898
291,2.770383706723479
293,4.901028360088474
294,3.2999762740063185
295,4.635297555497601
296,3.4969400269318633
297,4.635297555497601
298,1.9810993728457709
299,3.2999762740063185
300,2.770383706723479
301,5.621545642300853
302,5.3513241142844095
303,7.222912421528243
305,1.9810993728457709
317,1.9810993728457709
327,3.2999762740063185
330,1.9810993728457709
331,6.095632983897108
334,6.095632983897108
340,6.906806206150336
342,2.6986305854618693
360,6.126689753335924
